,COUB,Country of birth,FBORN,Place of birth,EDU,Education level,DOS,Duration of stay,SEX,Sex,COU,Country of residence,Value,Flag Codes,Flags
2497,NOAM,North America,1,Foreign-born,2,ISCED 3/4,99,Unknown duration of stay,ALL_SEX,Men and women,BEL,Belgium,1,,
2500,NOAM,North America,1,Foreign-born,99,Unknown education,99,Unknown duration of stay,2,Women,BEL,Belgium,17,,
2501,NOAM,North America,1,Foreign-born,99,Unknown education,99,Unknown duration of stay,1,Men,BEL,Belgium,12,,
2502,NOAM,North America,1,Foreign-born,99,Unknown education,99,Unknown duration of stay,ALL_SEX,Men and women,BEL,Belgium,29,,
2506,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,99,Unknown duration of stay,2,Women,BEL,Belgium,1,,
2507,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,99,Unknown duration of stay,ALL_SEX,Men and women,BEL,Belgium,1,,
2510,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,99,Unknown duration of stay,2,Women,BEL,Belgium,2,,
2511,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,99,Unknown duration of stay,1,Men,BEL,Belgium,1,,
2512,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,99,Unknown duration of stay,ALL_SEX,Men and women,BEL,Belgium,3,,
2516,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown duration of stay,2,Women,BEL,Belgium,21,,
2517,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown duration of stay,1,Men,BEL,Belgium,13,,
2518,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown duration of stay,ALL_SEX,Men and women,BEL,Belgium,34,,
2522,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,2,Women,BEL,Belgium,1117,,
2523,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,1,Men,BEL,Belgium,888,,
2524,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,ALL_SEX,Men and women,BEL,Belgium,2005,,
2528,NOAM,North America,1,Foreign-born,99,Unknown education,ALL_DOS,All durations of stay,2,Women,BEL,Belgium,2603,,
2529,NOAM,North America,1,Foreign-born,99,Unknown education,ALL_DOS,All durations of stay,1,Men,BEL,Belgium,2143,,
2530,NOAM,North America,1,Foreign-born,99,Unknown education,ALL_DOS,All durations of stay,ALL_SEX,Men and women,BEL,Belgium,4746,,
2534,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,2,Women,BEL,Belgium,1131,,
2535,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,1,Men,BEL,Belgium,913,,
2536,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,ALL_SEX,Men and women,BEL,Belgium,2044,,
2540,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,2,Women,BEL,Belgium,2709,,
2541,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,1,Men,BEL,Belgium,2637,,
2542,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,ALL_SEX,Men and women,BEL,Belgium,5346,,
2546,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,2,Women,BEL,Belgium,7560,,
2547,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,1,Men,BEL,Belgium,6581,,
2548,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,ALL_SEX,Men and women,BEL,Belgium,14141,,
3505,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,2,Women,CAN,Canada,2720,,
3506,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,1,Men,CAN,Canada,1915,,
3507,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,ALL_SEX,Men and women,CAN,Canada,4635,,
3511,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,2,Women,CAN,Canada,1170,,
3512,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,1,Men,CAN,Canada,1170,,
3513,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,ALL_SEX,Men and women,CAN,Canada,2340,,
3517,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,2,Women,CAN,Canada,4920,,
3518,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,1,Men,CAN,Canada,3305,,
3519,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,ALL_SEX,Men and women,CAN,Canada,8225,,
3523,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,2,Women,CAN,Canada,8810,,
3524,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,1,Men,CAN,Canada,6390,,
3525,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,ALL_SEX,Men and women,CAN,Canada,15200,,
3529,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,2,Women,CAN,Canada,34475,,
3530,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,1,Men,CAN,Canada,24275,,
3531,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,ALL_SEX,Men and women,CAN,Canada,58750,,
3535,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,2,Women,CAN,Canada,19865,,
3536,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,1,Men,CAN,Canada,14095,,
3537,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,ALL_SEX,Men and women,CAN,Canada,33960,,
3541,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,2,Women,CAN,Canada,53340,,
3542,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,1,Men,CAN,Canada,38310,,
3543,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,ALL_SEX,Men and women,CAN,Canada,91650,,
3547,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,2,Women,CAN,Canada,107680,,
3548,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,1,Men,CAN,Canada,76680,,
3549,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,ALL_SEX,Men and women,CAN,Canada,184360,,
3553,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,2,Women,CAN,Canada,2740,,
3554,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,1,Men,CAN,Canada,2200,,
3555,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,ALL_SEX,Men and women,CAN,Canada,4940,,
3559,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,2,Women,CAN,Canada,1650,,
3560,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,1,Men,CAN,Canada,1435,,
3561,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,ALL_SEX,Men and women,CAN,Canada,3085,,
3565,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,2,Women,CAN,Canada,4795,,
3566,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,1,Men,CAN,Canada,3140,,
3567,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,ALL_SEX,Men and women,CAN,Canada,7935,,
3571,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,2,Women,CAN,Canada,9185,,
3572,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,1,Men,CAN,Canada,6775,,
3573,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,ALL_SEX,Men and women,CAN,Canada,15960,,
3577,NOAM,North America,1,Foreign-born,2,ISCED 3/4,99,Unknown duration of stay,2,Women,CAN,Canada,4630,,
3578,NOAM,North America,1,Foreign-born,2,ISCED 3/4,99,Unknown duration of stay,1,Men,CAN,Canada,4240,,
3579,NOAM,North America,1,Foreign-born,2,ISCED 3/4,99,Unknown duration of stay,ALL_SEX,Men and women,CAN,Canada,8870,,
3580,NOAM,North America,0,Native-born,2,ISCED 3/4,99,Unknown duration of stay,2,Women,CAN,Canada,3303685,,
3581,NOAM,North America,0,Native-born,2,ISCED 3/4,99,Unknown duration of stay,1,Men,CAN,Canada,3543485,,
3582,NOAM,North America,0,Native-born,2,ISCED 3/4,99,Unknown duration of stay,ALL_SEX,Men and women,CAN,Canada,6847170,,
3586,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,99,Unknown duration of stay,2,Women,CAN,Canada,2735,,
3587,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,99,Unknown duration of stay,1,Men,CAN,Canada,2940,,
3588,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,99,Unknown duration of stay,ALL_SEX,Men and women,CAN,Canada,5675,,
3589,NOAM,North America,0,Native-born,1,ISCED 0/1/2,99,Unknown duration of stay,2,Women,CAN,Canada,2913080,,
3590,NOAM,North America,0,Native-born,1,ISCED 0/1/2,99,Unknown duration of stay,1,Men,CAN,Canada,2951300,,
3591,NOAM,North America,0,Native-born,1,ISCED 0/1/2,99,Unknown duration of stay,ALL_SEX,Men and women,CAN,Canada,5864380,,
3595,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,99,Unknown duration of stay,2,Women,CAN,Canada,8145,,
3596,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,99,Unknown duration of stay,1,Men,CAN,Canada,8105,,
3597,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,99,Unknown duration of stay,ALL_SEX,Men and women,CAN,Canada,16250,,
3598,NOAM,North America,0,Native-born,3_4,ISCED 5/6,99,Unknown duration of stay,2,Women,CAN,Canada,3277470,,
3599,NOAM,North America,0,Native-born,3_4,ISCED 5/6,99,Unknown duration of stay,1,Men,CAN,Canada,2556565,,
3600,NOAM,North America,0,Native-born,3_4,ISCED 5/6,99,Unknown duration of stay,ALL_SEX,Men and women,CAN,Canada,5834035,,
3604,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown duration of stay,2,Women,CAN,Canada,15510,,
3605,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown duration of stay,1,Men,CAN,Canada,15285,,
3606,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown duration of stay,ALL_SEX,Men and women,CAN,Canada,30795,,
3607,NOAM,North America,0,Native-born,ALL_EDU,All levels of education,99,Unknown duration of stay,2,Women,CAN,Canada,9494235,,
3608,NOAM,North America,0,Native-born,ALL_EDU,All levels of education,99,Unknown duration of stay,1,Men,CAN,Canada,9051350,,
3609,NOAM,North America,0,Native-born,ALL_EDU,All levels of education,99,Unknown duration of stay,ALL_SEX,Men and women,CAN,Canada,18545585,,
3613,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,2,Women,CAN,Canada,44565,,
3614,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,1,Men,CAN,Canada,32630,,
3615,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,ALL_SEX,Men and women,CAN,Canada,77195,,
3616,NOAM,North America,0,Native-born,2,ISCED 3/4,ALL_DOS,All durations of stay,2,Women,CAN,Canada,3303685,,
3617,NOAM,North America,0,Native-born,2,ISCED 3/4,ALL_DOS,All durations of stay,1,Men,CAN,Canada,3543485,,
3618,NOAM,North America,0,Native-born,2,ISCED 3/4,ALL_DOS,All durations of stay,ALL_SEX,Men and women,CAN,Canada,6847170,,
3622,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,2,Women,CAN,Canada,25420,,
